key,video,frame,validation score, best angle
57583_000082_Endzone_1,57583_000082,1,0.6000,42
57583_000082_Endzone_10,57583_000082,10,0.7000,42
57583_000082_Endzone_100,57583_000082,100,0.7895,-42
57583_000082_Endzone_101,57583_000082,101,0.7368,-42
57583_000082_Endzone_102,57583_000082,102,0.6316,-42
57583_000082_Endzone_103,57583_000082,103,0.7368,-42
57583_000082_Endzone_104,57583_000082,104,0.7895,-42
57583_000082_Endzone_105,57583_000082,105,0.6842,-42
57583_000082_Endzone_106,57583_000082,106,0.6000,-42
57583_000082_Endzone_107,57583_000082,107,0.7895,-42
57583_000082_Endzone_108,57583_000082,108,0.6316,-42
57583_000082_Endzone_109,57583_000082,109,0.6000,-42
